Name,IMDB Rating,Duration,Year,Age,Genres
Nauker,6.8,128 min,1979,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian"
Maza Pati Karodpati,7.3,133 min,1988,All Ages,"Drama, World Cinema: Indian"
Antarjali Yatra,7.5,121 min,1987,All Ages,"Drama, World Cinema: Indian"
Pretty Baby,6.6,109 min,1978,18+,Drama: Mature
Pournami,5.8,138 min,2006,All Ages,"Drama: Romance, World Cinema: Indian"
Manithan,7,139 min,1987,All Ages,"Drama, Drama: Crime, World Cinema: Indian"
Amar Prem,8.1,146 min,1971,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
Ghare Baire,7.7,137 min,1984,All Ages,"Drama, World Cinema: Indian"
Anandache Jhaad,,150 min,2006,All Ages,"Drama, World Cinema: Indian"
Proloy,7.2,119 min,2013,18+,"Drama, Drama: Crime, World Cinema: Indian"
Shegavicha Rana Gajanan,,129 min,2004,All Ages,"Drama: Biography, World Cinema: Indian"
Bharathi Kannama,,148 min,1997,All Ages,"Drama: Romance, World Cinema: Indian"
Chitrangada,6.1,130 min,2012,18+,"Drama, World Cinema: Indian"
Five Card Stud,6.5,102 min,1968,7+,"Drama, Drama: Crime, Drama: Mystery, Drama: Period, Drama: Romance, Western"
Gaddaar,8.1,130 min,1973,All Ages,"Action/Adventure: Crime, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Thriller, World Cinema: Indian"
Rajapart Rangadurai,7.5,150 min,1973,All Ages,"Drama, World Cinema: Indian"
Damini,7.8,150 min,1993,All Ages,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Padatik,7.6,92 min,1973,All Ages,"Drama: Political, World Cinema: Indian"
Duplicate,5.5,164 min,1998,All Ages,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Nallavanukku Nallavan,6.8,156 min,1984,All Ages,"Drama, World Cinema: Indian"
Aasai,7.6,145 min,1995,All Ages,"Drama, Drama: Romance, World Cinema: Indian"
Baap Re Baap Dokyala Taap,,134 min,2008,All Ages,"Comedy: Drama, Drama: Comedy, World Cinema: Indian"
MLA Phatakeshto,7.4,134 min,2006,All Ages,"Drama, Drama: Political, World Cinema: Indian"
Dil,6.8,175 min,1990,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
100 Days,6.6,138 min,1991,18+,"Bollywood, Bollywood: Drama, Bollywood: Thriller, Drama, Drama: Bollywood, Drama: Thriller, Thriller, World Cinema: Indian"
Amanush,6.5,157 min,2010,13+,"Drama, Drama: Thriller, World Cinema: Indian"
Hemanter Pakhi,,121 min,2001,All Ages,"Drama, World Cinema: Indian"
Magnolia (1999),8,188 min,1999,18+,Drama
Howrah Bridge,7.1,142 min,1958,All Ages,"Bollywood: Thriller, Drama: Mystery, Thriller: Mystery, World Cinema: Indian"
Jaan,3.9,169 min,1996,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Romance, World Cinema: Indian"
